1,  C.Ronaldo, ManUnited/RealMadrid/Juventus,180, 140
2,      Messi, Barcelona/Paris Saint-Germain,148, 120
3,Lewandowski,BorussiaDortmund/BayernMunchen,100, 81
4,       Raul,                    RealMadrid,142, 71
5,    Benzema,                    RealMadrid,135, 69
